rank,code,name,market,mktcap,sector,close,trend_score,pattern_score,volume_score,supply_score,risk_score,total_score,stop,risk_pct,bbw_pct,adx,setup,ma20,ma60,dryup_count,rebreakout,foreign_consec_buy,foreign_net_5d,inst_net_5d,trigger_score,liq_score,vol_score,momentum_score,news_score,news_summary,keywords,news_count,scan_date,chunk
58,060980,HL홀딩스,KOSPI,418752529650,기타,45450.0,22.0,5.0,8.0,3,5.0,43.0,40600.0,10.671067106710671,79.83193277310924,24.686338455782554,C,45140.0,44970.0,0,False,0,763247750.0,-2375776200.0,5.0,8.0,8.0,0,0,,,0,2026-01-18 23:11,2
59,053610,프로텍,KOSDAQ,388850000000,기타,35350.0,23.0,5.0,0.0,4,10.0,42.0,34250.0,3.1117397454031117,18.48739495798319,27.17748653740845,-,34750.0,34160.0,1,False,0,-711053250.0,457322400.0,5.0,0.0,0.0,0,0,,,0,2026-01-18 23:11,2
60,425420,티에프이,KOSDAQ,412644495000,기타,34500.0,10.0,10.0,8.0,5,9.0,42.0,31740.0,8.0,31.932773109243698,25.009386391064673,B,37300.0,39398.0,1,False,2,1857477900.0,-6861334850.0,10.0,8.0,8.0,0,0,,,0,2026-01-18 23:11,2
61,452430,사피엔반도체,KOSDAQ,255992132900,기타,31150.0,14.0,10.0,8.0,0,9.0,41.0,28658.0,8.0,81.5126050420168,32.31473543925664,B,34715.0,31942.0,1,False,0,-1139048650.0,-1034913500.0,10.0,8.0,8.0,0,0,,,0,2026-01-18 23:11,2
62,214180,헥토이노베이션,KOSDAQ,200227785470,기타,15410.0,14.0,5.0,8.0,4,10.0,41.0,15300.0,0.7138221933809215,6.722689075630252,33.57550975332346,-,16418.0,16227.4,0,False,0,-100399580.0,126982780.0,5.0,8.0,8.0,0,0,,,0,2026-01-18 23:11,2
63,236200,슈프리마,KOSDAQ,268519101000,기타,37000.0,17.0,0.0,10.0,4,10.0,41.0,35800.0,3.2432432432432434,92.43697478991596,23.91225753887993,-,37970.0,35667.0,3,False,0,-338762150.0,226348550.0,0.0,10.0,10.0,0,0,,,0,2026-01-18 23:11,2
64,114190,강원에너지,KOSDAQ,354489625660,기타,13570.0,10.0,5.0,12.0,5,9.0,41.0,12600.0,7.148120854826824,17.647058823529413,29.159809702876693,-,13674.0,15101.4,7,False,2,42244030.0,-19620310.0,5.0,12.0,12.0,0,0,,,0,2026-01-18 23:11,2
65,065710,서호전기,KOSDAQ,272435000000,기타,52900.0,15.0,0.0,12.0,5,9.0,41.0,49900.0,5.671077504725898,79.83193277310924,17.088271418988565,-,53730.0,49050.0,5,False,2,167434200.0,-158288400.0,0.0,12.0,12.0,0,0,,,0,2026-01-18 23:11,2
66,094360,칩스앤미디어,KOSDAQ,381111797340,기타,17910.0,18.0,0.0,12.0,2,9.0,41.0,16800.0,6.197654941373535,100.0,10.147280161452858,-,17709.0,16666.2,6,False,1,-728209150.0,-4191870.0,0.0,12.0,12.0,0,0,,,0,2026-01-18 23:11,2
67,045100,한양이엔지,KOSDAQ,419400000000,기타,23300.0,25.0,0.0,0.0,6,10.0,41.0,22700.0,2.575107296137339,100.0,42.55787261832631,-,22727.5,21552.0,0,False,1,-870518250.0,173029250.0,0.0,0.0,0.0,0,0,,,0,2026-01-18 23:11,2
