rank,code,name,market,mktcap,sector,close,trend_score,pattern_score,volume_score,supply_score,risk_score,total_score,stop,risk_pct,bbw_pct,adx,setup,ma20,ma60,bb_upper,door_knock,squeeze,memory_near,trigger_score,liq_score,foreign_consec_buy,foreign_net_5d,inst_net_5d,scan_date,chunk,keywords,news_count
19,204320,HL만도,KOSPI,3164909888000,기타,67400.0,25.0,20.0,15.0,4,9.0,73.0,62008.0,8.0,95.7983193277311,54.20337979409816,A,58250.0,50606.0,67747.96630599606,True,False,True,20.0,15.0,0,-4627439300.0,24429113200.0,2026-01-19 12:48,1,,0
20,012750,에스원,KOSPI,2895537363600,기타,76200.0,20.0,30.0,5.0,9,9.0,73.0,70300.0,7.742782152230972,6.722689075630252,10.511138582671801,R,75155.0,75044.0,78804.28586159303,True,True,True,30.0,5.0,1,425767500.0,818553700.0,2026-01-19 12:48,1,,0
21,016360,삼성증권,KOSPI,7456550000000,기타,83500.0,20.0,30.0,0.0,15,7.0,72.0,75700.0,9.341317365269461,5.042016806722689,27.565418206173995,R,78810.0,79096.0,83249.63067025166,True,True,True,30.0,0.0,5,62438662100.0,17856076200.0,2026-01-19 12:49,1,,0
22,071050,한국금융지주,KOSPI,10186711337600,기타,182800.0,25.0,30.0,5.0,5,7.0,72.0,165000.0,9.737417943107221,4.201680672268908,41.16803095979696,R,168030.0,165004.0,182071.7487700356,True,True,True,30.0,5.0,2,19118609300.0,-5027729300.0,2026-01-19 12:48,1,,0
23,006650,대한유화,KOSPI,988650000000,기타,152100.0,20.0,30.0,5.0,7,9.0,71.0,139932.0,8.0,0.0,25.090973502065193,R,143695.0,144462.0,159224.443212675,True,True,True,30.0,5.0,0,646885300.0,9666712600.0,2026-01-19 12:48,1,,0
24,075580,세진중공업,KOSPI,1179626212000,기타,20750.0,24.0,20.0,12.0,6,9.0,71.0,19090.0,8.0,1.680672268907563,37.94106688697089,A,18755.5,18631.6,22713.966532187056,False,True,True,20.0,12.0,1,-510222920.0,542318230.0,2026-01-19 12:48,1,,0
25,058650,세아홀딩스,KOSPI,584800000000,기타,146200.0,25.0,20.0,12.0,9,5.0,71.0,125800.0,13.953488372093023,71.42857142857143,55.59635487877644,A,136935.0,125992.0,144472.761319183,True,False,True,20.0,12.0,1,452594400.0,8307700.0,2026-01-19 12:48,1,,0
26,263750,펄어비스,KOSDAQ GLOBAL,2598825734750,기타,40450.0,25.0,20.0,12.0,5,9.0,71.0,37400.0,7.5401730531520395,20.168067226890756,59.94800528157773,A,38110.0,37765.0,40521.29322961462,True,False,True,20.0,12.0,1,2439520050.0,-1784766550.0,2026-01-19 12:48,1,,0
27,178320,서진시스템,KOSDAQ,1625912418900,기타,29100.0,22.0,20.0,13.0,6,9.0,70.0,26772.0,8.0,52.10084033613445,21.243784026758636,A,26260.0,25448.0,29215.875174508605,True,False,True,20.0,13.0,2,-3010237300.0,1122450650.0,2026-01-19 12:48,1,,0
28,388720,유일로보틱스,KOSDAQ,1145116230500,기타,97900.0,24.0,10.0,15.0,12,9.0,70.0,90068.0,8.0,63.865546218487395,33.756948129569714,B,84635.0,83664.0,95906.92871258069,False,False,True,10.0,15.0,3,26105951700.0,8403768500.0,2026-01-19 12:48,1,,0
29,348210,넥스틴,KOSDAQ GLOBAL,763773664500,기타,72900.0,22.0,20.0,7.0,12,9.0,70.0,67700.0,7.133058984910837,41.1764705882353,20.433394316329448,A,70915.0,68062.0,76174.49042653698,True,False,True,20.0,7.0,3,775144600.0,3397266700.0,2026-01-19 12:48,1,,0
30,055550,신한지주,KOSPI,38693946239800,기타,79700.0,19.0,30.0,5.0,6,10.0,70.0,76700.0,3.7641154328732744,0.0,22.626741182532335,R,78165.0,78206.0,81528.33611807268,True,True,True,30.0,5.0,1,-15373238900.0,48872372500.0,2026-01-19 12:48,1,,0
31,455900,엔젤로보틱스,KOSDAQ,555458934500,기타,36500.0,23.0,10.0,20.0,7,9.0,69.0,33580.0,8.0,53.78151260504202,29.873421326521996,B,31432.5,30436.0,34597.02580569604,False,False,True,10.0,20.0,0,11913677250.0,5416426850.0,2026-01-19 12:48,1,,0
32,006260,LS,KOSPI,6878900000000,기타,217000.0,25.0,20.0,5.0,12,7.0,69.0,198300.0,8.617511520737327,46.21848739495798,72.7556206401774,A,203960.0,196248.0,228034.7693490429,True,False,True,20.0,5.0,4,25997838000.0,2561540000.0,2026-01-19 12:49,1,,0
33,003550,LG,KOSPI,13725721065000,기타,89000.0,22.0,10.0,17.0,15,5.0,69.0,78600.0,11.685393258426966,2.5210084033613445,21.15176900883958,B,82520.0,82278.0,86619.351037632,False,True,False,10.0,17.0,5,24307122600.0,5201659600.0,2026-01-19 12:49,1,,0
34,105560,KB금융,KOSPI,49399342338500,기타,129500.0,20.0,20.0,5.0,15,9.0,69.0,122300.0,5.559845559845559,38.65546218487395,16.43508976672887,A,126370.0,126278.0,133956.3318742654,True,False,True,20.0,5.0,5,51335806400.0,12027462300.0,2026-01-19 12:49,1,,0
35,005490,POSCO홀딩스,KOSPI,28124200820000,기타,347500.0,24.0,20.0,10.0,9,5.0,68.0,298000.0,14.244604316546763,6.722689075630252,31.897131770677056,A,315475.0,312990.0,337370.6320248914,False,True,True,20.0,10.0,1,103575782500.0,127662196000.0,2026-01-19 12:48,1,,0
36,160190,하이젠알앤엠,KOSDAQ,2026252800000,기타,65600.0,22.0,10.0,15.0,12,9.0,68.0,60352.0,8.0,36.134453781512605,20.080730761121732,B,57910.0,55882.0,66700.95317603895,True,False,False,10.0,15.0,3,10076434800.0,18655234400.0,2026-01-19 12:49,1,,0
37,456040,OCI,KOSPI,631150897500,기타,70500.0,24.0,10.0,10.0,15,9.0,68.0,64860.0,8.0,100.0,32.367657198216776,B,61895.0,60760.0,68062.21128374866,False,False,True,10.0,10.0,5,13364795800.0,5963938100.0,2026-01-19 12:49,1,,0
