rank,code,name,market,mktcap,sector,close,stop,trend_score,pattern_score,volume_score,supply_score,risk_score,total_score,risk_pct,bbw_pct,adx,setup,ma20,ma60,bb_upper,door_knock,squeeze,trigger_score,liq_score,foreign_consec_buy,foreign_net_5d,inst_net_5d,scan_date,chunk,keywords,news_count
85,010130,고려아연,KOSPI,33062782896000,기타,1584000.0,1457280.0,22.0,10.0,11.0,4,9.0,56.0,8.0,55.46218487394958,24.506170870105557,-,1322600.0,1280540.0,1567836.828301603,True,False,10.0,11.0,0,-66500641000.0,138007812000.0,2026-01-19 14:05,1,,0
86,101490,에스앤에스텍,KOSDAQ,1461439211500,기타,68500.0,63020.0,25.0,0.0,16.0,5,9.0,55.0,8.0,73.94957983193277,66.6018200855906,-,53800.0,51236.0,63900.92695613239,False,False,0.0,16.0,1,2429234400.0,-11440689500.0,2026-01-19 14:05,1,,0
87,064400,LG씨엔에스,KOSPI,6946722471600,기타,71700.0,65964.0,22.0,0.0,20.0,4,9.0,55.0,8.0,43.69747899159664,35.302567644518085,-,63385.0,61376.0,69614.89857331502,False,False,0.0,20.0,0,-41567273100.0,23037952400.0,2026-01-19 14:05,1,,0
88,033780,KT&G,KOSPI,17083018196000,기타,144800.0,140300.0,22.0,10.0,8.0,5,10.0,55.0,3.1077348066298343,33.61344537815126,21.234075633126277,-,143485.0,142848.0,148822.1485597387,True,False,10.0,8.0,1,14538833900.0,-21814201600.0,2026-01-19 14:05,1,,0
89,399720,가온칩스,KOSDAQ,716905956000,기타,61800.0,56856.0,25.0,10.0,8.0,2,9.0,54.0,8.0,100.0,55.41465973439453,-,54900.0,50925.0,62118.68675095182,True,False,10.0,8.0,1,-3285987900.0,-406240600.0,2026-01-19 14:05,1,,0
90,080220,제주반도체,KOSDAQ,1066005681350,기타,30950.0,28250.0,25.0,10.0,12.0,0,7.0,54.0,8.723747980613894,100.0,75.78608279301179,-,26755.0,22185.2,31305.512735140615,True,False,10.0,12.0,0,-17357515000.0,-770088700.0,2026-01-19 14:04,1,,0
91,001060,JW중외제약,KOSPI,636870185500,기타,27350.0,25600.0,22.0,0.0,20.0,3,9.0,54.0,6.39853747714808,68.0672268907563,24.149179134845955,-,27117.5,26402.0,28955.386422272913,False,False,0.0,20.0,0,2320820150.0,-3284793400.0,2026-01-19 14:05,1,,0
92,009520,포스코엠텍,KOSDAQ GLOBAL,771222859560,기타,18520.0,17038.4,20.0,10.0,12.0,3,9.0,54.0,8.0,12.605042016806722,19.004490981507807,-,16254.0,15928.8,17713.798488239903,False,True,10.0,12.0,0,5692902750.0,-1177417050.0,2026-01-19 14:05,1,,0
93,044490,태웅,KOSDAQ,595219584750,기타,29750.0,25850.0,18.0,10.0,17.0,4,5.0,54.0,13.109243697478993,0.0,19.685882608924857,-,27350.0,26256.0,31770.363204744124,False,True,10.0,17.0,0,-2823507500.0,2775408400.0,2026-01-19 14:05,1,,0
94,012330,현대모비스,KOSPI,41510156722500,기타,457500.0,420900.0,25.0,0.0,16.0,4,9.0,54.0,8.0,100.0,44.262547881258854,-,391550.0,348730.0,434488.1200010656,False,False,0.0,16.0,0,-214224616000.0,116802558000.0,2026-01-19 14:05,1,,0
95,022100,포스코DX,KOSPI,6339848199300,기타,41700.0,38364.0,24.0,0.0,17.0,3,9.0,53.0,8.0,100.0,34.79896025329385,-,30112.5,27770.0,34538.01721448172,False,False,0.0,17.0,0,1607921800.0,-3683167350.0,2026-01-19 14:05,1,,0
96,085660,차바이오텍,KOSDAQ,1198233108600,기타,15100.0,13610.0,24.0,0.0,20.0,2,7.0,53.0,9.867549668874172,75.63025210084034,34.657216904923274,-,14458.0,14068.6,16144.477547753875,False,False,0.0,20.0,1,-5043550900.0,-5967399750.0,2026-01-19 14:05,1,,0
97,008930,한미사이언스,KOSPI,2636494252500,기타,38550.0,35950.0,15.0,10.0,16.0,2,9.0,52.0,6.744487678339818,18.48739495798319,15.779045751928923,-,37240.0,37908.0,40732.573294065296,False,True,10.0,16.0,1,-4196302700.0,-1687821250.0,2026-01-19 14:05,1,,0
98,025540,한국단자,KOSPI,760648000000,기타,75200.0,67300.0,22.0,10.0,13.0,0,5.0,50.0,10.50531914893617,100.0,20.2226194710974,-,70200.0,66214.0,74532.22540146315,True,False,10.0,13.0,0,-44157400.0,-479129600.0,2026-01-19 14:05,1,,0
99,086280,현대글로비스,KOSPI,20475000000000,기타,273000.0,251160.0,25.0,0.0,16.0,0,9.0,50.0,8.0,100.0,62.62541462802166,-,210090.0,185694.0,240776.94653419312,False,False,0.0,16.0,0,-104105592000.0,-14198380500.0,2026-01-19 14:05,1,,0
100,028300,HLB,KOSDAQ,6847281145200,기타,51600.0,49600.0,25.0,10.0,5.0,0,10.0,50.0,3.875968992248062,11.764705882352942,47.68809343777772,-,50577.5,49035.0,54460.11947752771,False,True,10.0,5.0,0,-17924937100.0,-9658900600.0,2026-01-19 14:05,1,,0
