rank,code,name,market,mktcap,sector,close,trend_score,pattern_score,volume_score,supply_score,risk_score,total_score,stop,risk_pct,bbw_pct,adx,setup,ma20,ma60,bb_upper,memory_price,vol_ratio,tags,dryup_count,rebreakout,foreign_consec_buy,foreign_net_5d,inst_net_5d,trigger_score,liq_score,keywords,news_count,scan_date,chunk
78,005180,빙그레,KOSPI,724322287400,기타,75800.0,15.0,30.0,0.0,5,10.0,60.0,72800.0,3.95778364116095,1.694915254237288,23.47921158234083,-,75555.0,74908.0,77827.00711934388,75800.0,0.57,🚪Door 🧘Squeeze 🧠Memory,0,False,1,598540000.0,-392102500.0,30.0,0.0,,0,2026-01-19 08:20,1
79,295310,에이치브이엠,KOSDAQ,921209459400,기타,77400.0,25.0,10.0,10.0,5,9.0,59.0,71208.0,8.0,100.0,74.21396242731734,-,63665.0,40481.0,77493.9918550928,52200.0,0.66,🚪Door 🔥Past 💧Dry,4,False,1,4696724600.0,-10899350900.0,10.0,10.0,,0,2026-01-19 08:20,1
80,103140,풍산,KOSPI,3458195905200,기타,123400.0,25.0,20.0,5.0,4,5.0,59.0,110300.0,10.615883306320907,47.45762711864407,63.84810049036194,-,114020.0,105982.0,126253.45016653866,120900.0,1.1,🚪Door 🧠Memory 🔥Past,0,False,0,-22833686900.0,13409969700.0,20.0,5.0,,0,2026-01-19 08:20,1
81,199800,툴젠,KOSDAQ,531819300500,기타,59300.0,22.0,10.0,12.0,5,10.0,59.0,56600.0,4.5531197301854975,0.0,57.762047194117294,-,57685.0,59029.0,71865.39204282753,76200.0,0.4,🧘Squeeze 🔥Past 💧Dry+,5,False,1,654154800.0,-84582700.0,10.0,12.0,,0,2026-01-19 08:20,1
82,034730,SK,KOSPI,21315794682000,기타,294000.0,25.0,20.0,0.0,7,7.0,59.0,266000.0,9.523809523809524,8.474576271186441,48.911864331440675,R,270750.0,264940.0,292363.13162294554,270500.0,1.01,🚪Door 🧘Squeeze,0,True,0,31045347500.0,8986306500.0,20.0,0.0,,0,2026-01-19 08:20,1
83,058610,에스피지,KOSDAQ,2497170736000,기타,112600.0,20.0,10.0,13.0,7,9.0,59.0,103592.0,8.0,66.10169491525424,19.382357398845823,R,85430.0,65827.0,107388.70310898255,46100.0,2.51,🚪Door 🔥Past 🚀Pivot+,0,True,0,10790421500.0,36773623700.0,10.0,13.0,,0,2026-01-19 08:20,1
84,000250,삼천당제약,KOSDAQ,6485991008000,기타,276500.0,24.0,20.0,0.0,6,9.0,59.0,254380.0,8.0,62.71186440677966,34.03328947602192,R,245425.0,231500.0,263998.9588285486,279000.0,0.9,🚪Door 🧠Memory,0,True,2,-1979155000.0,28614031500.0,20.0,0.0,,0,2026-01-19 08:20,1
85,357780,솔브레인,KOSDAQ GLOBAL,2372462630000,기타,305000.0,25.0,20.0,5.0,4,5.0,59.0,268500.0,11.967213114754099,32.20338983050848,40.06314171834349,-,275025.0,267800.0,300988.78003385296,295500.0,1.44,🚪Door 🧠Memory 🚀Pivot,0,False,0,-2020657000.0,3930434500.0,20.0,5.0,,0,2026-01-19 08:20,1
86,005810,풍산홀딩스,KOSPI,562274388000,기타,39000.0,20.0,30.0,0.0,0,9.0,59.0,36200.0,7.179487179487179,3.389830508474576,23.722111247239674,-,38205.0,37625.0,40469.07371941769,38550.0,0.87,🚪Door 🧘Squeeze 🧠Memory,0,False,0,-313192400.0,-856118300.0,30.0,0.0,,0,2026-01-19 08:20,1
87,117730,티로보틱스,KOSDAQ,578470461000,기타,26500.0,24.0,0.0,20.0,5,9.0,58.0,24380.0,8.0,22.033898305084747,39.12829943086909,R,20103.0,18248.0,23370.053610321087,15940.0,2.96,🔥Past 💧Dry+ 🚀Pivot+,5,True,2,9915634000.0,-326601150.0,0.0,20.0,,0,2026-01-19 08:20,1
