rank,code,name,market,close,trend_score,trigger_score,liq_score,total_score,stop,risk_pct,bbw_pct,adx,setup,ma20,ma60,vol_score,momentum_score,news_score,news_summary,keywords,news_count,scan_date,chunk
152,24110,기업은행,KOSPI,20500.0,27.0,5.0,10.0,42.0,20250.0,1.2195121951219512,31.932773109243698,34.03935187798059,-,20820.0,20633.4,5.0,0,0,,"quot, 14시, 오전, 50, 경기, 최고",10,2026-01-17 23:18,1
153,389650,넥스트바이오메디컬,KOSDAQ,80900.0,25.0,0.0,16.0,41.0,78700.0,2.719406674907293,73.10924369747899,14.60110641621919,-,85460.0,79972.0,0.0,0,0,,"넥스트바이오메디컬, 클라쓰, 바이오, 389650, 넥스트바이오메디컬 389650, 실적",10,2026-01-17 23:28,1
154,35420,NAVER,KOSPI,245500.0,24.0,5.0,12.0,41.0,243500.0,0.8146639511201629,5.042016806722689,38.27882576908526,-,245550.0,249890.0,5.0,0,0,,"인천, 한국정경신문, 박용일, naver com, naver, com",10,2026-01-17 23:17,1
158,69620,대웅제약,KOSPI,164200.0,30.0,0.0,10.0,40.0,160400.0,2.3142509135200973,74.78991596638656,48.857658871522126,-,172485.0,171812.0,0.0,0,0,,"대웅제약, quot, 신신제약, 신신제약 대웅제약, 대원제약, 신약",10,2026-01-17 23:23,1
159,111770,영원무역,KOSPI,84500.0,30.0,0.0,10.0,40.0,78500.0,7.100591715976331,74.78991596638656,24.810955870373583,-,85100.0,82988.0,0.0,0,0,,"숙명여대, 글로벌, 영원무역과, sookmyung, 영원무역과 함께하는, 함께하는",10,2026-01-17 23:21,1
157,8770,호텔신라,KOSPI,46500.0,25.0,5.0,10.0,40.0,43450.0,6.559139784946237,9.243697478991596,24.88281934995593,-,45180.0,45749.0,5.0,0,0,,"사장, 이부진, 갈라, 호텔신라, 이부진 호텔신라, 것으로",10,2026-01-17 23:23,1
156,145020,휴젤,KOSDAQ GLOBAL,242000.0,23.0,5.0,12.0,40.0,219000.0,9.50413223140496,26.89075630252101,18.142756679195337,-,233050.0,228740.0,5.0,0,0,,"글로벌, 휴젤, 알테오젠, 에스테틱, 휴젤은, quot",10,2026-01-17 23:21,1
155,60370,LS마린솔루션,KOSDAQ,28700.0,23.0,5.0,12.0,40.0,28300.0,1.3937282229965158,33.61344537815126,28.45201768529548,-,29917.5,28879.0,5.0,0,0,,"ls, quot, 중복상장, 자회사, ls마린솔루션, ipo",10,2026-01-17 23:24,1
160,3670,포스코퓨처엠,KOSPI,188700.0,24.0,5.0,10.0,39.0,172500.0,8.585055643879173,14.285714285714286,36.2068914878741,-,189940.0,201302.0,5.0,0,0,,"양극재, 포스코퓨처엠, 광양 양극재, 광양, 단체, 전구체",10,2026-01-17 23:18,1
161,417200,LS머트리얼즈,KOSDAQ,12770.0,25.0,0.0,14.0,39.0,12310.0,3.6021926389976504,57.142857142857146,12.20719439344074,-,12851.0,12643.4,0.0,0,0,,"12, ls머트리얼즈, 네이버페이, ipo, ls electric, ls",10,2026-01-17 23:27,1
162,450080,에코프로머티,KOSPI,54300.0,24.0,5.0,10.0,39.0,50400.0,7.18232044198895,34.45378151260504,37.83790786616337,-,54640.0,58118.0,5.0,0,0,,"그래픽 오인경, 오인경, 그래픽, 에코프로머티, 배터리, 상신이디피",10,2026-01-17 23:21,1
163,195940,HK이노엔,KOSDAQ GLOBAL,46950.0,20.0,5.0,14.0,39.0,44900.0,4.366347177848776,14.285714285714286,26.628115638945847,-,50472.5,50760.0,5.0,0,0,,"신약, 케이캡, 미국, hk이노엔, cab, fda",10,2026-01-17 23:25,1
164,247540,에코프로비엠,KOSDAQ GLOBAL,145800.0,24.0,5.0,10.0,39.0,139200.0,4.526748971193416,4.201680672268908,35.206335035963306,-,151650.0,154898.0,5.0,0,0,,"quot, 코스피, 에코프로비엠, 상승, 에코프로, 레인보우로보틱스",10,2026-01-17 23:19,1
165,322000,HD현대에너지솔루션,KOSPI,56900.0,25.0,0.0,14.0,39.0,52100.0,8.43585237258348,44.53781512605042,19.20840058245215,-,57345.0,56268.0,0.0,0,0,,"hd현대에너지솔루션, ipo, 태양광, hd현대로보틱스, hd현대로보틱스 ipo, 실적",10,2026-01-17 23:29,1
166,41510,에스엠,KOSDAQ GLOBAL,112300.0,25.0,0.0,14.0,39.0,110700.0,1.4247551202137132,59.66386554621849,35.499608788653006,-,120020.0,110204.0,0.0,0,0,,"에스엠, 드림, 최대주주등, 반도체, 자회사, 피날레",10,2026-01-17 23:22,1
